MID Data C:\ESCO\Data\SIM\HMK\20260415\20260415_GZ_1421_4_7days_SIM_A.mfd
April 15 2026 14:40:11

Sample Weight : 342.8 mg

Normalization : per 100 mg (Sample weight : 342.8 mg)
Background correction : Minimum value

No.,Time[s],Temperature1[C],Temperature2[C],Heating Output[%],Pressure1[Pa],Pressure2[Pa],m/z 2,m/z 12,m/z 16,m/z 17,m/z 18,m/z 19,m/z 20,m/z 28,m/z 32,m/z 40,m/z 44,m/z 60
1,3.050,49.4,58.8,1.145,7.97075E-008,6.29945E-005,1.72299E-012,3.4366E-014,6.77588E-014,7.70282E-015,2.02702E-013,1.80219E-013,-4.17636E-015,1.68408E-013,8.83365E-015,1.94507E-015,7.19987E-014,6.94863E-015
2,6.172,49.3,58.8,1.845,7.97075E-008,6.28738E-005,2.68666E-012,2.91486E-014,7.39477E-014,6.77095E-014,1.05129E-013,2.96181E-013,1.96646E-014,1.36636E-013,1.14269E-014,1.44747E-014,5.68668E-014,8.86115E-015
3,9.295,49.3,58.8,2.505,7.95244E-008,6.27533E-005,1.16605E-012,5.32943E-014,9.38188E-014,5.11685E-014,6.53908E-014,1.8691E-013,1.7509E-015,7.99368E-014,9.42009E-015,-1.0914E-014,7.37709E-014,1.34685E-016
4,12.417,49.3,58.9,3.315,7.92958E-008,6.2633E-005,1.47944E-012,3.2454E-014,1.66816E-013,6.92443E-014,1.60568E-013,1.46755E-013,1.7779E-014,1.69844E-013,1.98975E-014,1.75629E-014,2.22006E-014,1.48019E-014
5,15.540,49.3,58.7,4.060,7.92501E-008,6.2633E-005,1.3332E-012,6.37924E-014,2.32214E-014,8.61697E-014,1.7314E-013,1.94319E-013,-1.19308E-015,0,2.01242E-015,6.76229E-016,8.36616E-015,-1.00638E-014
6,18.663,49.3,58.6,4.820,7.91589E-008,6.2513E-005,1.60009E-012,7.39011E-014,5.63207E-014,4.08034E-014,1.58509E-013,1.78312E-013,-6.87735E-015,6.83779E-014,2.3823E-014,0,3.52252E-014,-4.73811E-015
7,21.785,49.3,58.6,5.655,7.89769E-008,6.2513E-005,9.67965E-013,4.25178E-014,3.26004E-014,1.02833E-013,1.13483E-013,1.06773E-013,-9.75624E-015,1.56662E-013,4.35481E-015,-1.33456E-014,9.09314E-014,1.24022E-015
8,24.908,49.2,58.5,6.405,7.89769E-008,6.2393E-005,1.97152E-012,2.77771E-014,6.03663E-014,5.3626E-014,1.27471E-013,1.78034E-013,3.19372E-015,1.31725E-013,0,-6.18821E-015,3.37268E-014,1.12866E-014
9,28.030,49.1,58.5,7.160,7.87953E-008,6.22735E-005,1.92438E-012,3.71349E-014,0,6.55169E-014,0,1.53241E-013,0,6.84397E-014,1.19028E-014,-6.5889E-015,4.7683E-014,1.00941E-014
10,31.153,49.2,58.5,7.885,7.87953E-008,6.22735E-005,1.1624E-012,2.14003E-014,5.2063E-014,4.83709E-014,3.66418E-014,4.71354E-014,7.28983E-016,9.66651E-014,1.84255E-014,1.56801E-014,7.65622E-014,-3.06857E-015
11,34.276,49.6,58.5,8.685,7.84783E-008,6.22735E-005,1.85925E-012,2.46535E-014,6.85737E-014,5.90504E-014,8.85728E-014,1.57971E-013,3.61685E-015,1.12021E-013,6.66185E-015,-1.66145E-014,4.56223E-014,4.35425E-015
12,37.398,51.1,58.5,9.500,7.8388E-008,6.2154E-005,1.64793E-012,1.56526E-014,6.46005E-014,5.12E-014,8.28689E-014,1.74423E-013,3.07699E-015,2.14708E-013,7.92733E-015,-7.90882E-015,8.08132E-014,-3.95581E-015
