MID Data C:\ESCO\Data\SIM\HMK\20260409\20260409_GZ_1421_3_25h_SIM_A.mfd
April 09 2026 14:35:48

Sample Weight : 267.1 mg

Normalization : per 100 mg (Sample weight : 267.1 mg)
Background correction : Minimum value

No.,Time[s],Temperature1[C],Temperature2[C],Heating Output[%],Pressure1[Pa],Pressure2[Pa],m/z 2,m/z 12,m/z 16,m/z 17,m/z 18,m/z 19,m/z 20,m/z 28,m/z 32,m/z 40,m/z 44,m/z 60
1,2.943,44.8,53.3,1.055,7.97994E-008,6.85441E-005,6.24173E-013,4.45127E-014,6.79579E-014,4.68297E-014,1.89012E-013,2.8103E-013,1.91597E-014,1.79748E-013,1.55405E-014,5.52421E-015,7.75917E-014,-4.03332E-015
2,6.066,44.8,53.3,1.740,7.96159E-008,6.84128E-005,9.68262E-013,3.10105E-014,5.65702E-014,4.48015E-014,8.90723E-014,1.63093E-013,-5.46515E-015,8.03301E-014,-1.03145E-014,9.11963E-015,5.2305E-014,1.84957E-015
3,9.188,44.8,53.3,2.385,7.94786E-008,6.82816E-005,1.03918E-012,4.39711E-014,1.36627E-013,1.74294E-015,1.34335E-013,2.62128E-013,-2.05743E-014,1.03322E-013,1.5475E-014,1.24241E-015,6.04415E-014,1.55031E-014
4,12.311,44.8,53.3,3.145,7.93871E-008,6.82816E-005,1.5013E-012,2.21451E-014,3.49127E-014,3.81919E-014,2.29751E-013,1.53382E-013,2.9184E-014,4.38026E-014,1.98929E-015,1.04751E-014,1.16703E-013,9.75992E-015
5,15.433,44.7,53.2,3.840,7.94786E-008,6.82816E-005,8.4238E-013,3.52937E-014,3.28413E-014,1.03155E-013,1.06895E-013,1.96492E-013,1.09454E-014,6.63777E-014,1.67059E-014,3.4132E-015,3.81559E-014,1.30968E-014
6,18.556,44.7,53.1,4.635,7.94786E-008,6.82816E-005,1.73918E-012,2.2735E-014,1.06252E-013,6.32713E-014,1.07217E-013,1.2339E-013,3.46145E-015,9.54062E-014,2.63751E-015,8.25606E-015,7.50932E-014,-6.11336E-015
7,21.679,44.7,53.1,5.415,7.92958E-008,6.81507E-005,1.24145E-012,3.05323E-014,4.82241E-014,2.32103E-014,8.46426E-015,1.20373E-013,-1.24939E-014,8.11094E-014,5.48935E-014,1.52964E-014,9.20296E-014,2.12794E-014
8,24.801,44.7,53.1,6.120,7.91589E-008,6.81507E-005,1.17964E-012,2.46861E-014,1.34474E-013,4.33589E-014,1.5522E-013,3.12163E-013,7.88658E-015,3.07268E-014,-5.28941E-015,-1.01769E-015,9.73543E-014,-8.63275E-015
9,27.924,44.6,53.1,6.990,7.91589E-008,6.802E-005,1.01995E-012,1.98367E-014,3.24935E-014,6.83021E-014,4.21187E-014,1.61798E-013,-4.73483E-015,1.33051E-013,-2.5698E-015,-7.85633E-015,1.01136E-013,8.8337E-015
10,31.047,44.6,53.1,7.625,7.91133E-008,6.78897E-005,8.2648E-013,6.15895E-014,4.72396E-014,1.29239E-014,1.77286E-013,2.6415E-013,-1.65064E-014,1.17952E-013,3.93314E-014,3.41393E-016,5.06103E-014,-1.27215E-014
