MID Data C:\ESCO\Data\SIM\HMK\20260408\20260408_GZ_1421_1_3h_SIM_A.mfd
April 08 2026 16:50:53

Sample Weight : 377.8 mg

Normalization : per 100 mg (Sample weight : 377.8 mg)
Background correction : Minimum value

No.,Time[s],Temperature1[C],Temperature2[C],Heating Output[%],Pressure1[Pa],Pressure2[Pa],m/z 2,m/z 12,m/z 16,m/z 17,m/z 18,m/z 19,m/z 20,m/z 28,m/z 32,m/z 40,m/z 44,m/z 60
1,2.970,47.4,57.0,1.020,7.96618E-008,5.73415E-005,9.9496E-013,3.96803E-014,1.02852E-013,9.88659E-014,1.06537E-013,2.05591E-013,-7.87729E-016,6.77626E-014,2.30651E-014,1.06925E-017,6.33315E-014,1.38711E-014
2,6.093,47.4,57.0,1.655,7.97536E-008,5.73415E-005,9.1936E-014,3.10611E-014,6.99399E-014,8.04864E-014,0,1.67962E-013,-8.26021E-015,7.47187E-014,4.37299E-015,-1.15267E-014,6.05976E-014,6.14704E-015
3,9.215,47.4,57.0,2.340,7.95702E-008,5.73415E-005,1.17211E-012,7.18886E-015,1.34984E-013,2.54268E-014,1.58125E-013,2.45419E-013,-9.63912E-016,4.57377E-014,1.41644E-014,4.50844E-015,4.29977E-014,-1.73326E-014
4,12.338,47.4,57.0,3.125,7.95244E-008,5.72316E-005,3.08256E-013,3.63649E-014,1.21341E-013,9.81912E-014,1.58213E-013,1.23636E-013,-4.74776E-015,1.10358E-013,7.1415E-015,-8.7246E-015,5.57399E-014,1.78118E-015
5,15.460,47.3,57.0,3.685,7.97075E-008,5.72316E-005,1.0465E-012,2.41304E-014,5.85853E-014,3.94293E-014,1.58951E-013,1.2204E-013,1.81427E-015,1.14144E-013,4.77118E-016,-1.02094E-015,2.99887E-014,1.20975E-014
6,18.583,47.2,56.9,4.460,7.93871E-008,5.71218E-005,5.96395E-013,1.1046E-014,9.37154E-014,4.93398E-014,7.78945E-014,7.44891E-014,0,5.3724E-014,3.14481E-015,-5.14341E-015,3.96293E-014,-1.40121E-014
7,21.706,47.2,56.7,5.170,7.93413E-008,5.71218E-005,8.28487E-013,4.0937E-014,1.54625E-013,8.15257E-014,1.07972E-013,1.06253E-013,-4.34957E-015,1.83494E-013,1.01651E-014,-1.22411E-015,7.10484E-014,-1.04635E-014
8,24.828,47.2,56.7,5.885,7.92045E-008,5.71218E-005,8.87629E-013,2.69351E-014,1.4015E-013,7.93693E-014,5.54368E-014,1.77391E-013,1.20629E-015,1.0017E-013,-5.7188E-015,1.74635E-014,3.18804E-014,1.34927E-014
9,27.951,47.2,56.7,6.715,7.92045E-008,5.70123E-005,7.74409E-013,2.8784E-014,1.25794E-013,0,8.12991E-014,7.46581E-014,2.84184E-015,6.68343E-014,4.97487E-015,1.35956E-014,4.16453E-014,4.00535E-015
10,31.073,47.2,56.7,7.310,7.91133E-008,5.69031E-005,1.50955E-013,1.78983E-014,1.48059E-013,3.17953E-014,9.02583E-014,3.27856E-014,6.97499E-015,1.50746E-013,1.86428E-014,-7.68024E-015,6.93248E-014,3.6204E-015
11,34.196,47.2,56.7,8.015,7.90224E-008,5.69031E-005,2.38899E-013,4.59928E-014,1.24801E-013,7.06406E-014,5.08723E-014,8.34137E-014,3.9529E-015,7.62768E-014,9.99199E-015,4.73962E-015,4.38633E-014,-1.76844E-015
12,37.319,47.9,56.7,8.930,7.88861E-008,5.69031E-005,6.77551E-013,5.30279E-015,1.3421E-013,8.32015E-014,1.20563E-013,6.76357E-014,-3.11629E-016,3.5841E-014,2.2308E-015,1.41674E-014,4.27996E-014,7.50812E-015
13,40.441,50.0,56.7,9.775,7.88405E-008,5.67939E-005,9.03395E-013,1.13454E-014,1.66106E-013,6.04122E-014,2.38529E-014,1.37977E-013,-4.14538E-015,5.83449E-014,3.95698E-015,4.76915E-015,6.18396E-014,8.37988E-015
14,43.564,54.0,57.0,10.350,7.87953E-008,5.67939E-005,7.29735E-013,3.15346E-014,1.11853E-013,1.58621E-014,3.8807E-014,1.29063E-013,-8.81422E-016,7.07246E-014,-3.67285E-015,8.27294E-015,3.41825E-014,-3.16976E-015
15,46.686,59.8,57.4,10.655,7.87953E-008,5.66851E-005,0,1.72394E-014,1.04531E-013,5.52852E-014,5.70734E-014,1.20565E-013,1.46191E-015,7.09283E-014,4.51557E-015,4.13467E-016,6.1723E-014,-3.81135E-015
16,49.809,65.9,57.9,10.825,7.87045E-008,5.66851E-005,1.02709E-012,1.00826E-014,1.40388E-013,3.60248E-014,9.58687E-014,1.01176E-013,1.78678E-015,1.08838E-013,-1.10506E-014,6.62314E-015,5.49282E-014,-8.37325E-015
