MID Data C:\ESCO\Data\SIM\HMK\20260422\20260422_GZ_1421_5_14days_SIM_A.mfd
April 22 2026 14:35:27

Sample Weight : 303.2 mg

Normalization : per 100 mg (Sample weight : 303.2 mg)
Background correction : Minimum value

No.,Time[s],Temperature1[C],Temperature2[C],Heating Output[%],Pressure1[Pa],Pressure2[Pa],m/z 2,m/z 12,m/z 16,m/z 17,m/z 18,m/z 19,m/z 20,m/z 28,m/z 32,m/z 40,m/z 44,m/z 60
23,71.548,90.8,58.6,11.405,7.73571E-008,8.03782E-005,7.83016E-013,2.33718E-014,3.23041E-014,4.63794E-014,2.06251E-014,1.44684E-013,1.41769E-014,1.17284E-013,1.2097E-014,2.15597E-015,3.51415E-014,-1.77147E-015
24,74.670,93.7,59.2,11.545,7.74016E-008,8.02241E-005,1.06855E-012,2.8506E-014,6.01622E-014,0,1.36749E-013,2.09752E-013,4.6736E-015,1.51638E-013,2.59199E-014,0,3.69376E-014,-4.87727E-015
25,77.793,96.8,59.4,11.690,7.73127E-008,8.00704E-005,7.46013E-013,5.09496E-014,1.1144E-013,4.20287E-014,1.70555E-013,1.16749E-013,1.55569E-014,1.02503E-013,2.95789E-014,7.58651E-015,3.14151E-014,-1.31452E-014
26,80.915,99.9,59.7,11.815,7.72235E-008,7.99169E-005,4.89043E-013,2.79356E-014,1.3808E-013,5.62329E-014,1.1058E-013,2.68014E-013,-1.12703E-014,1.45996E-013,4.28358E-014,2.83614E-016,2.82808E-014,-2.05509E-015
27,84.038,103.1,60.2,11.960,7.72235E-008,7.99169E-005,1.24672E-012,1.60886E-014,1.01369E-013,4.81383E-015,1.76665E-013,1.72853E-013,9.03249E-015,7.38151E-014,3.27025E-014,-5.94193E-015,1.72363E-014,2.11517E-014
28,87.161,106.2,60.6,12.140,7.70461E-008,7.97636E-005,5.27037E-013,6.70445E-014,1.58786E-013,7.66163E-014,3.93639E-014,2.64035E-013,-1.35144E-015,4.06869E-014,1.65505E-014,-6.47362E-015,1.15671E-013,5.20339E-015
29,90.283,109.5,61.0,12.185,7.69573E-008,7.96108E-005,6.92229E-013,2.61775E-014,1.76083E-013,5.11342E-014,1.56439E-013,9.3724E-014,3.04342E-014,7.0512E-014,-1.45106E-015,6.65445E-015,7.1286E-014,1.24295E-015
30,93.406,112.5,61.4,12.360,7.6913E-008,7.94582E-005,9.24798E-013,2.51445E-014,1.45359E-013,1.09115E-013,2.11868E-013,3.01912E-013,-5.27318E-015,1.29396E-013,1.60892E-014,1.24663E-014,7.88135E-014,2.74921E-015
31,96.528,115.6,61.8,12.490,7.6692E-008,7.94582E-005,1.60837E-012,2.74813E-014,8.6053E-014,1.13472E-013,1.056E-013,3.51841E-013,1.10241E-014,1.31828E-013,4.76122E-014,-5.37914E-015,1.89958E-014,1.17208E-014
32,99.651,119.0,62.2,12.680,7.67804E-008,7.93058E-005,1.73542E-012,4.88761E-014,1.53576E-013,1.24824E-013,1.65116E-013,2.19994E-013,2.92585E-014,1.13452E-013,1.32467E-014,9.50899E-015,3.51484E-014,1.19955E-014
33,102.774,122.3,62.7,12.765,7.68687E-008,7.91537E-005,8.69336E-013,2.89159E-014,7.92729E-014,7.13571E-014,9.23476E-014,1.82468E-013,-5.43116E-016,8.41686E-014,8.57186E-015,-4.15523E-015,4.52215E-014,-2.82662E-015
34,105.896,125.8,63.1,12.885,7.67362E-008,7.9002E-005,7.59328E-013,3.61433E-014,8.68131E-014,4.34671E-014,1.79935E-013,1.06017E-013,-2.19023E-015,1.28714E-013,-5.81249E-015,-2.6496E-015,4.19266E-014,-4.88869E-015
35,109.019,129.1,63.6,13.065,7.67362E-008,7.88506E-005,1.83278E-012,3.04907E-014,1.91191E-013,8.82362E-014,1.97934E-013,1.33171E-013,-1.97387E-015,1.53692E-013,-2.66546E-015,-8.79075E-015,6.51309E-014,6.87208E-015
36,112.141,132.4,64.3,13.165,7.6692E-008,7.88506E-005,1.23049E-012,1.59947E-014,1.17121E-013,1.681E-013,8.2979E-014,1.36729E-013,1.1972E-014,6.82609E-014,8.66639E-015,-4.89947E-015,2.43717E-014,-9.81163E-015
37,115.264,135.6,64.8,13.260,7.6692E-008,7.86995E-005,1.72239E-013,4.0301E-014,1.19504E-013,1.09366E-013,2.56238E-013,2.2552E-013,3.42513E-014,1.47477E-013,1.10356E-014,7.80223E-015,2.72371E-014,2.66343E-014
38,118.387,138.7,64.9,13.430,7.6692E-008,7.85485E-005,1.72853E-012,1.05654E-014,3.55038E-014,1.88385E-013,2.39286E-013,2.13268E-013,-7.16457E-015,5.75318E-014,-4.67931E-015,-4.35953E-015,9.10977E-014,-1.73791E-014
39,121.509,141.9,65.7,13.495,7.64716E-008,7.8398E-005,1.2338E-012,1.55423E-014,1.07965E-013,1.79692E-013,2.36064E-013,2.70205E-013,-5.24081E-016,1.25654E-013,1.18153E-014,6.11133E-015,7.18818E-014,8.38849E-015
40,124.632,144.9,66.1,13.695,7.66478E-008,7.82476E-005,2.81322E-013,2.9643E-014,1.67497E-013,1.42171E-013,2.35766E-013,4.03617E-013,1.60112E-014,6.63725E-014,1.29802E-014,7.6582E-015,1.50328E-014,1.65073E-014
41,127.754,148.1,66.3,13.760,7.64716E-008,7.82476E-005,4.85568E-013,5.75888E-014,1.70392E-013,1.39748E-013,3.83069E-013,2.54747E-013,1.20063E-014,1.98792E-013,1.71532E-014,9.0014E-015,8.0991E-014,1.81824E-014
42,130.877,151.2,66.8,13.865,7.65596E-008,7.80977E-005,8.78074E-013,1.50747E-014,1.24187E-013,1.07896E-013,2.0613E-013,0,5.36455E-015,1.55013E-013,2.51426E-014,-3.28535E-015,4.01563E-015,-7.26609E-015
43,134.000,154.5,67.4,13.875,7.64716E-008,7.79479E-005,1.56375E-012,2.24201E-014,1.59815E-013,1.54266E-013,3.98732E-013,2.93284E-013,2.11029E-015,1.87331E-014,1.15933E-014,3.54739E-015,3.61122E-014,2.17532E-014
44,137.122,157.6,67.7,14.050,7.66037E-008,7.79479E-005,7.71286E-013,6.22846E-014,1.6133E-013,2.35727E-013,3.81879E-013,2.09681E-013,2.141E-014,8.10094E-014,9.83384E-015,6.73439E-015,6.83109E-014,4.1584E-015
45,140.245,160.7,68.3,14.215,7.6692E-008,7.77986E-005,7.91268E-013,3.78989E-014,2.23049E-013,2.19435E-013,4.89782E-013,2.7766E-013,1.91658E-014,1.54776E-013,1.98974E-014,1.6541E-014,4.02249E-014,-1.06479E-014
46,143.367,163.9,68.6,14.270,7.67804E-008,7.76494E-005,8.05668E-013,4.37082E-014,1.01227E-013,1.83063E-013,5.10401E-013,2.22631E-013,9.79387E-015,1.12411E-013,2.51877E-014,9.68791E-015,2.56121E-014,-1.04816E-015
47,146.490,167.0,69.0,14.385,7.6692E-008,7.76494E-005,7.54733E-013,2.61508E-014,1.18758E-013,2.9638E-013,5.12567E-013,1.75983E-013,3.42367E-015,2.06566E-013,9.14543E-015,-1.54433E-015,8.31781E-014,-1.31877E-014
48,149.613,170.1,69.5,14.500,7.69573E-008,7.75006E-005,1.57846E-012,3.45412E-015,1.36278E-013,2.32878E-013,5.27741E-013,1.02991E-013,-8.0262E-015,1.35758E-013,2.57041E-014,1.01524E-014,8.81283E-014,1.21116E-014
49,152.735,173.1,69.9,14.590,7.70015E-008,7.73519E-005,7.21168E-013,5.9871E-014,1.58021E-013,2.59384E-013,6.43003E-013,2.0153E-013,6.16084E-016,8.55441E-014,1.97426E-014,6.72678E-015,5.40293E-014,-1.72116E-014
50,155.858,176.4,70.4,14.780,7.7268E-008,7.72037E-005,1.01847E-012,4.111E-014,1.30811E-013,3.69376E-013,6.189E-013,1.04913E-013,3.45794E-016,1.32682E-013,2.93924E-014,-9.39034E-016,3.05782E-014,-1.3451E-015
51,158.980,179.5,70.9,14.775,7.73571E-008,7.70557E-005,1.85467E-012,1.91151E-014,1.3668E-013,4.13617E-013,7.13326E-013,3.0999E-013,-9.24948E-015,1.3564E-013,2.05502E-014,2.76825E-015,1.09513E-013,7.80223E-015
52,162.103,182.7,71.4,14.880,7.76247E-008,7.70557E-005,2.0426E-012,7.25087E-015,2.25733E-013,4.72444E-013,1.03196E-012,1.75092E-013,1.78131E-014,6.87513E-014,-6.40764E-015,4.32083E-016,8.38544E-014,-2.64389E-015
53,165.226,185.9,71.8,14.980,7.81177E-008,7.6908E-005,1.42692E-012,6.70305E-014,2.38735E-013,5.01027E-013,1.10973E-012,1.9913E-013,3.22444E-015,1.74758E-013,2.0101E-014,-1.01454E-015,8.46082E-014,2.42823E-014
54,168.348,189.1,72.2,15.090,7.80729E-008,7.67605E-005,1.09968E-012,3.14786E-014,2.80157E-013,4.96618E-013,1.23154E-012,1.0333E-013,1.01124E-014,1.51892E-013,4.39442E-015,4.04736E-015,1.04764E-013,2.40342E-014
55,171.471,192.2,72.7,15.155,7.84332E-008,7.66134E-005,1.1809E-012,3.88938E-014,1.80946E-013,4.39397E-013,1.14299E-012,2.51122E-013,-2.28287E-015,1.30644E-013,1.25818E-015,5.90703E-016,8.99626E-014,1.97958E-014
56,174.593,195.3,73.1,15.235,7.87499E-008,7.66134E-005,1.10838E-012,6.55795E-014,1.70971E-013,5.05772E-013,1.2673E-012,3.89293E-014,5.69768E-016,0,1.19302E-014,-1.66361E-015,1.25211E-013,1.36636E-014
57,177.716,198.3,73.5,15.375,7.89769E-008,7.64665E-005,1.72192E-012,2.08808E-015,1.84828E-013,6.49312E-013,1.30263E-012,1.98817E-013,5.57647E-015,1.05006E-013,3.31396E-014,1.25735E-014,1.01658E-013,2.07704E-014
58,180.839,201.5,74.0,15.470,7.94786E-008,7.64665E-005,2.99006E-013,4.72715E-014,3.05408E-013,7.16722E-013,1.6203E-012,2.86423E-013,6.03221E-014,8.13711E-014,2.6989E-014,1.18636E-014,4.34094E-014,9.51089E-015
59,183.961,204.5,74.5,15.555,7.97536E-008,7.63199E-005,1.35305E-012,4.62918E-014,2.56816E-013,7.56324E-013,1.66692E-012,2.20572E-013,2.94463E-015,1.06509E-013,2.35571E-014,5.14565E-016,7.14567E-014,1.91081E-014
60,187.084,207.6,75.0,15.705,8.03526E-008,7.61736E-005,7.28379E-013,3.22114E-014,2.02684E-013,7.85664E-013,1.8146E-012,1.49371E-013,-7.71721E-015,2.45292E-013,1.8905E-014,1.29695E-014,9.91753E-014,8.54775E-015
61,190.206,210.8,75.6,15.765,8.07236E-008,7.60276E-005,1.47833E-012,2.32684E-014,2.23728E-013,9.18237E-013,2.15652E-012,2.29761E-013,1.13319E-015,1.9636E-013,5.12535E-015,9.17842E-015,1.52958E-013,1.13452E-014
62,193.329,213.9,75.9,15.890,8.13298E-008,7.58819E-005,2.29542E-012,1.67427E-014,2.15057E-013,1.06127E-012,2.37708E-012,1.48843E-013,8.94811E-015,1.47414E-013,1.45677E-014,3.05922E-014,9.62116E-014,1.40138E-014
63,196.452,217.0,76.5,15.920,8.19407E-008,7.58819E-005,1.44597E-012,2.85124E-014,2.79028E-013,9.39529E-013,2.45384E-012,2.69508E-013,1.01587E-014,8.62782E-014,5.72195E-014,6.17605E-015,1.11666E-013,1.63988E-014
64,199.574,220.1,77.0,16.065,8.25563E-008,7.57364E-005,1.59429E-012,5.33993E-014,3.26654E-013,1.27672E-012,2.62673E-012,9.17374E-014,2.46763E-014,9.06662E-014,9.68537E-015,6.09801E-015,1.25917E-013,1.67821E-015
