MID Data C:\ESCO\Data\SIM\HMK\20260408\20260408_GZ_1421_2_7h_SIM_A.mfd
April 08 2026 20:56:53

Sample Weight : 335 mg

Normalization : per 100 mg (Sample weight : 335 mg)
Background correction : Minimum value

No.,Time[s],Temperature1[C],Temperature2[C],Heating Output[%],Pressure1[Pa],Pressure2[Pa],m/z 2,m/z 12,m/z 16,m/z 17,m/z 18,m/z 19,m/z 20,m/z 28,m/z 32,m/z 40,m/z 44,m/z 60
23,71.693,91.2,58.7,11.330,7.88405E-008,5.45509E-005,7.87457E-013,1.40531E-014,6.35309E-014,9.26203E-014,1.42712E-013,7.79154E-014,-1.08534E-014,1.05146E-014,2.66913E-014,-6.57176E-015,6.44249E-014,2.23442E-015
24,74.815,94.1,59.0,11.495,7.87499E-008,5.45509E-005,1.04222E-012,3.2145E-014,9.67864E-014,5.25029E-014,5.82879E-014,1.44271E-013,1.4292E-014,1.1161E-013,2.54969E-015,1.61922E-014,3.69687E-014,-1.61233E-014
25,77.938,97.1,59.4,11.550,7.87499E-008,5.44463E-005,8.79637E-013,2.68992E-014,9.07982E-014,5.7751E-014,8.37928E-014,2.21443E-013,9.39709E-015,1.13651E-013,3.44437E-015,-5.95731E-015,2.44621E-014,4.79904E-015
26,81.061,100.2,59.7,11.745,7.86592E-008,5.43419E-005,8.20214E-013,3.60574E-014,6.48786E-014,9.15361E-014,9.32726E-014,1.24772E-013,1.6964E-014,8.88784E-014,4.12601E-015,1.30298E-015,7.88439E-014,3.18653E-015
27,84.183,103.3,60.1,11.895,7.85236E-008,5.43419E-005,1.48745E-012,1.19784E-014,1.05772E-014,6.84471E-014,8.32939E-014,5.64244E-014,-7.00934E-015,7.95071E-014,2.60361E-014,1.52028E-014,6.13923E-014,-7.63183E-016
28,87.306,106.4,60.4,12.000,7.86592E-008,5.43419E-005,5.30461E-013,3.65972E-015,3.26377E-014,7.75541E-014,2.25056E-015,1.50632E-013,1.90026E-014,1.27165E-013,4.59116E-015,-3.01656E-015,5.49658E-014,1.08706E-015
29,90.428,109.6,60.8,12.130,7.85236E-008,5.43419E-005,6.88512E-013,3.29214E-014,4.14439E-014,7.48661E-014,1.15099E-013,1.11101E-013,-2.9063E-015,1.04365E-013,3.08719E-015,9.26788E-015,2.02596E-015,-2.1221E-014
30,93.551,112.8,61.3,12.110,7.84783E-008,5.42377E-005,4.71193E-013,2.13198E-014,1.08916E-013,9.04456E-014,4.28221E-014,1.44891E-013,-4.82833E-015,9.47812E-014,-2.03918E-015,4.3494E-015,3.53786E-014,2.76877E-014
31,96.674,116.0,61.6,12.335,7.84332E-008,5.42377E-005,7.76519E-013,1.09258E-014,8.09933E-014,3.22846E-014,1.75406E-013,1.07791E-013,-1.08327E-014,1.29003E-013,1.59493E-014,-8.4645E-015,3.35433E-014,-7.61805E-015
32,99.796,119.5,62.0,12.495,7.8388E-008,5.42377E-005,7.76896E-013,1.5096E-014,5.68391E-014,7.93188E-014,1.01696E-013,9.67222E-014,2.81413E-014,1.2244E-013,-7.63356E-015,9.14499E-015,4.31827E-014,3.96809E-015
33,102.919,122.9,62.4,12.645,7.8388E-008,5.41338E-005,9.10477E-013,1.27255E-014,7.0713E-014,5.13917E-014,1.20027E-013,1.70596E-013,-8.49896E-015,1.09068E-013,7.10524E-015,1.19939E-014,4.36674E-014,3.95431E-015
