MID Data C:\ESCO\Data\SIM\HMK\20260506\20260506_GZ_1421_6_28d_SIM_A.mfd
May 06 2026 15:13:10

Sample Weight : 275.3 mg

Normalization : per 100 mg (Sample weight : 275.3 mg)
Background correction : Minimum value

No.,Time[s],Temperature1[C],Temperature2[C],Heating Output[%],Pressure1[Pa],Pressure2[Pa],m/z 2,m/z 12,m/z 16,m/z 17,m/z 18,m/z 19,m/z 20,m/z 28,m/z 32,m/z 40,m/z 44,m/z 60
23,71.625,93.8,62.3,11.435,7.85236E-008,5.65764E-005,1.44876E-012,4.64565E-014,6.46137E-014,1.68909E-013,1.00588E-013,4.13375E-013,1.18073E-014,1.63596E-013,3.70285E-015,1.97735E-014,8.46219E-014,-3.87336E-015
24,74.748,96.8,62.7,11.655,7.8388E-008,5.6468E-005,1.14437E-012,7.94125E-014,6.10946E-014,1.35143E-013,3.42432E-014,3.36939E-013,1.81299E-014,6.03238E-014,8.08912E-015,1.81823E-015,8.75149E-014,4.73775E-015
25,77.870,99.7,63.1,11.810,7.8343E-008,5.6468E-005,8.53251E-013,3.45136E-014,1.05938E-013,5.47302E-014,1.59828E-013,3.5676E-013,2.43596E-014,1.10538E-013,8.53774E-015,2.33009E-014,4.62972E-014,-1.26689E-014
26,80.993,102.9,63.5,11.850,7.8388E-008,5.63596E-005,7.55965E-013,-1.16871E-014,2.59046E-014,3.14229E-014,4.59994E-014,2.84094E-013,1.85569E-014,0,1.75437E-014,1.48471E-014,8.42418E-014,1.43041E-015
27,84.116,106.1,64.0,12.065,7.84332E-008,5.63596E-005,5.34245E-013,4.80546E-014,9.30018E-014,1.19735E-013,1.0583E-013,5.2181E-013,4.56515E-015,1.09472E-013,3.55373E-014,-6.69574E-015,6.2509E-014,1.43523E-014
28,87.238,109.2,64.3,12.235,7.82528E-008,5.62517E-005,7.54343E-013,3.59985E-014,6.9348E-014,8.0857E-014,9.70693E-014,3.99596E-013,9.52861E-015,1.05484E-013,1.0421E-014,-1.02917E-014,6.36067E-014,1.84346E-014
29,90.362,112.5,64.7,12.350,7.82077E-008,5.62517E-005,3.81327E-013,1.07864E-014,1.53298E-013,7.3213E-014,7.26525E-014,4.08364E-013,1.27472E-014,1.25869E-013,6.61049E-015,4.15147E-015,5.62534E-014,1.25578E-014
30,93.483,115.7,65.2,12.530,7.81627E-008,5.61438E-005,1.05735E-012,1.47702E-014,1.78828E-013,1.42609E-013,7.80101E-014,2.15041E-013,5.40509E-015,5.49734E-015,3.57567E-015,9.35391E-015,7.64846E-014,-4.72378E-016
31,96.607,119.1,65.7,12.575,7.80279E-008,5.60362E-005,1.1517E-012,4.69694E-014,5.58873E-014,9.34707E-014,2.18863E-013,3.40222E-013,1.45871E-014,1.50752E-013,-1.94122E-015,-5.83833E-015,5.37637E-014,-8.93255E-015
32,99.729,122.5,66.1,12.760,7.79382E-008,5.60362E-005,1.18864E-012,4.95382E-014,1.51816E-013,8.65276E-014,1.78723E-013,3.05735E-013,2.10921E-014,6.50511E-014,2.65656E-014,2.43316E-014,4.19871E-014,-2.91253E-015
33,102.852,126.0,66.6,12.825,7.7983E-008,5.59288E-005,6.60886E-013,3.8431E-014,1.26694E-013,7.34086E-014,1.84547E-013,4.32243E-013,1.54438E-014,9.13638E-014,-1.70091E-014,1.71992E-014,9.39696E-014,4.7678E-015
34,105.974,129.3,67.0,12.940,7.79382E-008,5.59288E-005,2.97127E-013,5.87048E-014,8.178E-014,1.52846E-013,1.83692E-013,4.53879E-013,1.96645E-014,1.03287E-013,9.36719E-015,-7.93818E-015,5.39726E-014,3.8482E-015
35,109.096,132.6,67.5,13.075,7.7983E-008,5.58216E-005,1.38133E-012,6.8935E-015,1.45504E-013,6.58331E-014,0,2.60499E-013,2.23608E-016,4.17802E-014,1.73312E-014,1.04643E-014,8.05222E-014,8.62089E-015
36,112.219,135.7,67.9,13.160,7.78483E-008,5.58216E-005,8.75938E-013,4.07712E-014,5.36505E-014,1.07826E-013,1.49906E-013,2.92137E-013,1.62341E-014,1.22506E-013,-1.02526E-014,5.38552E-015,4.92782E-014,-5.72443E-015
37,115.342,138.9,68.4,13.275,7.79382E-008,5.58216E-005,1.38072E-012,1.9385E-014,1.52063E-013,1.75303E-013,2.59049E-013,3.77387E-013,-1.00471E-014,1.86643E-013,1.25648E-014,5.64407E-015,1.12418E-013,-1.307E-014
38,118.464,141.9,68.8,13.380,7.78933E-008,5.57145E-005,5.91919E-013,4.11164E-014,1.13624E-013,1.38514E-013,1.76169E-013,3.62657E-013,-7.04933E-015,1.46413E-013,4.45824E-015,4.74544E-015,5.46344E-014,7.90254E-015
39,121.587,145.0,69.2,13.515,7.78933E-008,5.56078E-005,0,3.57519E-014,7.60039E-014,1.18373E-013,1.49166E-013,3.40311E-013,1.0479E-014,7.4936E-014,1.94576E-014,1.04468E-015,6.24908E-014,-1.74696E-015
