MID Data C:\ESCO\Data\SIM\HMK\20260623\20260623_GZ_Si_HF_1421_14Days_SIM_A.mfd
June 23 2026 11:33:52

Sample Weight : 405.3 mg

Normalization : per 100 mg (Sample weight : 405.3 mg)
Background correction : Minimum value

No.,Time[s],Temperature1[C],Temperature2[C],Heating Output[%],Pressure1[Pa],Pressure2[Pa],m/z 2,m/z 12,m/z 14,m/z 15,m/z 16,m/z 17,m/z 18,m/z 19,m/z 20,m/z 28,m/z 32,m/z 38,m/z 40,m/z 44,m/z 60
1,3.815,59.9,71.8,1.205,6.82731E-008,4.53733E-005,7.72756E-013,3.11371E-016,1.16123E-014,2.31168E-014,5.66104E-014,6.9901E-014,1.06797E-013,6.97682E-013,1.77765E-014,8.5301E-014,5.30895E-015,2.88824E-015,-1.87961E-015,5.13641E-014,9.46022E-015
2,7.716,59.9,71.7,2.035,6.79986E-008,4.53733E-005,4.36352E-013,2.61156E-014,9.13271E-015,4.36914E-015,9.23357E-014,2.78941E-014,5.06331E-014,2.75318E-013,2.3495E-016,2.49171E-014,6.34937E-015,3.93009E-015,-4.58748E-015,4.7592E-014,1.66412E-015
3,11.618,59.7,71.6,3.030,6.77641E-008,4.52863E-005,3.88224E-013,1.10892E-014,2.36622E-014,-1.40781E-015,1.24139E-013,0,1.13588E-013,3.47716E-013,-3.66381E-015,1.41991E-013,-2.69268E-015,3.36573E-015,-1.46942E-014,3.5302E-014,4.82148E-015
4,15.520,59.9,71.5,3.860,6.78423E-008,4.52863E-005,4.3258E-013,1.39831E-014,-4.54618E-015,2.34353E-014,1.30983E-013,3.99108E-014,8.98747E-014,3.47121E-013,1.44564E-014,5.36652E-014,3.42373E-014,-8.16918E-015,1.19241E-014,5.13152E-014,-1.22269E-015
5,19.421,59.9,71.5,4.740,6.78812E-008,4.51995E-005,4.31006E-013,1.08718E-014,1.18187E-014,6.96215E-015,7.84927E-014,4.67481E-014,8.79116E-014,3.83572E-013,1.84676E-014,7.93332E-014,9.15122E-015,-1.96172E-015,-3.0667E-015,2.33774E-014,9.08715E-015
6,23.323,59.9,71.5,5.670,6.78032E-008,4.51995E-005,5.95898E-013,6.85535E-015,1.37653E-014,2.32943E-014,4.14254E-014,1.09871E-013,4.99757E-014,4.01191E-013,-3.22761E-015,4.66438E-014,1.47711E-015,2.38179E-015,7.66842E-015,2.12766E-014,6.53496E-015
7,27.225,59.7,71.2,6.635,6.76471E-008,4.51128E-005,2.60102E-013,4.20363E-014,1.12501E-014,1.79422E-014,5.69815E-014,5.36006E-014,6.81002E-014,3.64382E-013,1.25602E-014,6.48479E-014,9.71511E-015,8.59588E-015,8.19149E-015,4.20026E-014,3.97803E-015
8,31.126,59.7,71.2,7.535,6.76471E-008,4.51128E-005,4.57143E-014,2.19477E-014,1.13507E-014,5.74799E-016,4.704E-014,8.26852E-014,4.252E-014,5.54232E-013,-9.92491E-016,3.0283E-014,1.13887E-014,-2.57307E-015,-1.45195E-015,6.1316E-014,1.35773E-014
9,35.028,59.9,71.2,8.565,6.73752E-008,4.51128E-005,7.35726E-013,2.05632E-014,1.77751E-014,2.37519E-014,1.16319E-013,3.81238E-014,9.28209E-014,4.5301E-013,1.78273E-014,7.3563E-014,1.33761E-014,-3.46351E-015,6.22027E-015,0,-2.44254E-015
10,38.930,61.8,71.2,9.665,6.74529E-008,4.50264E-005,5.70369E-013,6.97449E-015,8.08801E-015,1.71101E-014,7.34415E-014,7.41339E-014,9.44935E-014,4.58501E-013,1.12824E-014,1.22287E-013,7.14394E-015,1.98735E-015,1.2114E-014,7.96849E-014,6.30666E-015
