MID Data C:\ESCO\Data\SIM\HMK\20260610\20260610_GZ_Si_HF_1423_24H_SIM_A.mfd
June 10 2026 13:36:59

Sample Weight : 249.8 mg

Normalization : per 100 mg (Sample weight : 249.8 mg)
Background correction : Minimum value

No.,Time[s],Temperature1[C],Temperature2[C],Heating Output[%],Pressure1[Pa],Pressure2[Pa],m/z 2,m/z 12,m/z 14,m/z 15,m/z 16,m/z 17,m/z 18,m/z 19,m/z 20,m/z 28,m/z 32,m/z 38,m/z 40,m/z 44,m/z 60
1,3.797,31.5,36.4,1.290,7.94786E-008,5.1302E-005,9.17719E-013,2.51936E-014,2.47823E-014,1.70858E-014,2.02455E-013,1.38026E-013,7.82184E-014,2.16729E-013,1.87215E-014,2.1904E-013,2.10927E-014,-1.38829E-014,4.50364E-015,2.27647E-015,3.36941E-014
2,7.699,31.5,36.4,2.165,7.91589E-008,5.12037E-005,5.06059E-013,4.76148E-014,8.5737E-015,3.37788E-014,1.58699E-013,1.52672E-013,1.72272E-013,0,3.51997E-014,1.15818E-013,3.61824E-014,1.17982E-014,-3.58104E-016,6.92658E-014,-4.86174E-015
3,11.601,31.5,36.4,3.095,7.90224E-008,5.10075E-005,7.80943E-013,4.88416E-014,4.10233E-014,3.34161E-014,1.3293E-013,6.90663E-014,1.6047E-013,2.82952E-013,-1.46692E-014,1.19018E-013,2.91836E-014,-2.82556E-015,5.40391E-015,3.72859E-014,2.31174E-014
4,15.502,31.8,36.4,3.975,7.86141E-008,5.09098E-005,1.54443E-012,5.99928E-014,7.24063E-015,3.1584E-014,7.79859E-014,2.06992E-013,6.45018E-014,3.89099E-013,3.27061E-014,5.70272E-014,3.48385E-014,1.20292E-015,-6.29878E-015,4.98096E-014,2.74931E-016
5,19.404,31.7,36.4,4.975,7.84783E-008,5.08122E-005,5.61346E-013,9.79742E-015,2.43411E-014,3.25143E-015,2.72617E-013,1.14252E-013,3.99729E-014,2.58256E-013,-1.12175E-014,5.55462E-014,1.89972E-014,4.56833E-015,-6.8394E-015,5.06097E-014,6.82862E-015
6,23.306,31.8,36.4,5.815,7.82077E-008,5.07148E-005,7.07481E-013,6.67152E-015,2.67561E-014,3.0951E-015,1.17413E-013,1.10952E-013,1.55818E-013,3.63423E-013,1.13939E-014,9.74528E-014,1.89225E-014,5.56563E-015,6.50209E-015,6.26243E-014,-7.1467E-016
7,27.208,31.6,36.4,6.780,7.80729E-008,5.05205E-005,7.89882E-013,9.95761E-016,2.81986E-014,3.21678E-014,1.44468E-013,1.2906E-013,2.05155E-013,2.37425E-013,-1.81131E-015,6.12982E-014,1.86977E-014,1.39483E-014,-6.78703E-015,0,1.38051E-014
8,31.109,31.7,36.4,7.690,7.78483E-008,5.05205E-005,1.70933E-012,2.71805E-014,1.48502E-014,4.65797E-014,1.31848E-013,1.22945E-013,3.32752E-014,1.86558E-013,1.27839E-014,2.70457E-014,1.44659E-014,8.99727E-015,1.80176E-014,2.00677E-014,1.61717E-014
9,35.011,32.2,36.4,8.735,7.76694E-008,5.0327E-005,9.67431E-013,0,1.89349E-014,1.79776E-014,7.92189E-014,1.46898E-013,1.22714E-013,1.30772E-013,1.32398E-014,6.44526E-014,1.80646E-014,1.17828E-015,1.28401E-014,4.85489E-014,-3.17288E-016
10,38.913,34.3,36.6,9.660,7.74907E-008,5.02305E-005,1.7873E-013,4.04665E-014,-2.44627E-014,5.54792E-015,1.12648E-013,6.23579E-014,0,2.23176E-013,1.3809E-014,1.09348E-013,2.6951E-014,3.45628E-015,1.48517E-014,9.78201E-015,-1.50142E-014
11,42.814,39.4,36.9,10.320,7.72235E-008,5.01342E-005,6.2895E-013,2.005E-014,-1.03534E-014,8.23948E-015,1.95795E-013,1.93729E-013,2.11943E-013,2.57685E-013,8.18635E-016,1.13295E-013,3.51944E-016,7.10278E-015,-4.78242E-016,6.35077E-014,-1.46715E-014
12,46.716,46.2,37.5,10.640,7.70461E-008,5.00381E-005,3.87485E-014,-3.43626E-015,8.20944E-015,2.08155E-014,1.04949E-013,0,6.79474E-014,3.56839E-013,3.01501E-015,5.44673E-014,2.72459E-014,7.38618E-015,-1.17674E-015,3.16341E-014,2.18728E-014
13,50.618,53.6,38.2,10.830,7.68245E-008,4.99422E-005,1.00642E-012,2.83526E-014,3.60576E-014,2.14724E-014,1.01147E-013,1.29824E-013,8.09361E-014,4.98138E-014,-3.02502E-015,1.38911E-013,3.45359E-014,1.65421E-015,-9.0273E-015,6.91426E-014,-1.37335E-014
14,54.519,59.4,38.8,10.860,7.66037E-008,4.98465E-005,1.31291E-012,3.34754E-014,1.1906E-014,2.58397E-014,1.0143E-013,1.36687E-013,1.99072E-013,2.37505E-013,-2.27739E-014,1.64452E-013,1.72899E-014,-9.95067E-015,-1.37674E-014,4.215E-014,3.17596E-015
