MID Data C:\ESCO\Data\SIM\HMK\20260623\20260623_GZ_Si_HF_1423_14Days_SIM_A.mfd
June 23 2026 13:34:05

Sample Weight : 274.4 mg

Normalization : per 100 mg (Sample weight : 274.4 mg)
Background correction : Minimum value

No.,Time[s],Temperature1[C],Temperature2[C],Heating Output[%],Pressure1[Pa],Pressure2[Pa],m/z 2,m/z 12,m/z 14,m/z 15,m/z 16,m/z 17,m/z 18,m/z 19,m/z 20,m/z 28,m/z 32,m/z 38,m/z 40,m/z 44,m/z 60
1,3.826,51.6,60.0,1.260,7.97075E-008,6.29945E-005,4.0091E-013,2.83494E-014,8.81181E-015,3.23595E-014,1.03498E-013,1.47318E-013,6.02098E-014,4.9211E-013,-1.32678E-014,0,2.43441E-014,-7.25614E-016,1.34775E-014,1.07282E-013,-8.55312E-015
2,7.728,51.8,59.8,2.115,7.93871E-008,6.27533E-005,3.47901E-013,4.33629E-014,2.04174E-014,5.69484E-015,1.79592E-013,1.04933E-013,2.4599E-013,5.33644E-013,-2.07855E-014,4.56849E-014,2.61179E-014,1.03268E-014,-5.26928E-015,3.16837E-014,-2.29252E-015
3,11.630,51.7,59.8,3.020,7.92501E-008,6.27533E-005,1.63925E-012,2.96674E-014,-8.64706E-015,0,5.97212E-014,1.15073E-013,0,2.769E-013,1.35097E-015,4.79536E-014,2.64165E-015,1.42676E-014,1.1105E-015,1.82736E-014,6.88807E-015
4,15.532,51.8,59.8,3.915,7.90678E-008,6.2633E-005,1.60618E-012,4.72125E-014,2.29385E-014,2.09671E-014,0,1.35363E-013,8.39278E-014,2.49292E-013,8.96535E-015,4.45983E-014,1.92431E-014,-5.07508E-015,3.50538E-017,5.93734E-014,2.51714E-014
5,19.433,51.8,59.8,4.930,7.89314E-008,6.2513E-005,1.14644E-012,5.39239E-014,0,7.02338E-015,6.02365E-014,1.35399E-013,8.32787E-014,2.71293E-013,2.43862E-014,1.4144E-013,9.96088E-015,5.24685E-015,3.54604E-015,2.30451E-014,7.55619E-015
6,23.335,51.6,59.7,5.815,7.87499E-008,6.2513E-005,1.14376E-012,5.09689E-014,7.6312E-015,1.22653E-014,1.3859E-014,1.17545E-013,9.59667E-014,2.392E-013,5.38917E-015,3.96731E-014,1.4201E-014,9.40773E-015,6.23326E-015,2.68358E-014,1.79419E-014
7,27.237,51.6,59.6,6.740,7.86592E-008,6.22735E-005,2.66344E-013,3.86664E-014,5.31065E-015,1.77169E-014,3.01169E-014,1.66172E-013,1.87205E-013,2.78653E-013,1.33807E-014,2.41683E-014,2.97214E-014,-1.32594E-014,3.16255E-015,5.349E-014,1.24301E-015
8,31.138,51.6,59.6,7.695,7.85236E-008,6.22735E-005,6.3086E-013,2.03943E-014,2.04427E-014,1.96217E-014,4.44329E-014,5.45507E-014,2.16914E-013,2.34287E-013,7.31782E-015,1.45684E-014,6.06921E-015,5.48521E-015,-1.71308E-014,1.28185E-014,-1.93357E-015
9,35.040,51.9,59.6,8.720,7.82077E-008,6.2154E-005,8.83241E-013,2.88471E-014,4.63123E-014,3.44186E-014,1.42886E-014,1.29067E-013,1.53461E-013,3.64409E-013,1.64325E-014,8.65071E-014,3.76127E-015,5.51326E-015,-4.99516E-015,2.12005E-014,2.59587E-014
10,38.942,54.1,59.6,9.660,7.82077E-008,6.20349E-005,9.86336E-013,5.68418E-014,2.18266E-014,6.85021E-015,6.42355E-014,7.41626E-014,6.35874E-014,4.18807E-013,2.0111E-014,1.01055E-013,3.7884E-014,-6.42746E-015,9.02424E-015,7.86291E-014,1.69029E-015
11,42.843,59.1,60.0,10.340,7.80279E-008,6.17973E-005,9.53961E-013,4.545E-014,1.20164E-014,1.57167E-014,5.08414E-014,5.17254E-014,1.44846E-013,2.94936E-013,-2.53018E-015,6.09964E-014,-2.01209E-015,-2.22451E-015,6.7142E-015,2.65848E-014,-3.56357E-015
12,46.745,66.2,60.5,10.725,7.82077E-008,6.17973E-005,4.2681E-013,0,2.75656E-014,1.44358E-014,1.58024E-013,1.10144E-013,5.30819E-014,2.26203E-013,1.4351E-014,9.06539E-014,4.69861E-015,1.02343E-014,-1.79805E-014,8.41564E-014,1.40692E-014
13,50.647,73.2,61.0,10.865,7.78036E-008,6.15606E-005,1.47436E-012,2.14108E-015,2.7893E-014,2.23902E-014,8.1503E-014,0,1.05002E-013,4.89184E-013,1.24651E-015,1.40817E-013,1.01109E-014,6.2592E-015,-5.16342E-015,6.66197E-014,8.13249E-017
14,54.549,79.3,61.7,10.960,7.77588E-008,6.15606E-005,1.32578E-012,4.01001E-014,2.30934E-015,1.01628E-014,1.36541E-013,1.34824E-013,1.69593E-013,1.41804E-013,-8.87561E-015,7.15083E-014,2.92398E-014,-2.55346E-014,-7.2337E-015,5.78548E-014,1.90622E-015
15,58.450,84.1,62.3,11.000,7.75353E-008,6.14426E-005,1.39392E-012,1.15565E-014,3.07576E-014,3.09539E-014,5.83408E-014,1.83766E-014,1.74975E-013,2.75782E-013,-1.6307E-015,1.371E-013,5.88062E-015,-6.50599E-016,-5.8035E-015,8.39213E-016,8.79849E-015
