MID Data C:\ESCO\Data\SIM\HMK\20260408\20260408_GZ_1423_2_6h_SIM_A.mfd
April 08 2026 19:50:08

Sample Weight : 304.4 mg

Normalization : per 100 mg (Sample weight : 304.4 mg)
Background correction : Minimum value

No.,Time[s],Temperature1[C],Temperature2[C],Heating Output[%],Pressure1[Pa],Pressure2[Pa],m/z 2,m/z 12,m/z 16,m/z 17,m/z 18,m/z 19,m/z 20,m/z 28,m/z 32,m/z 40,m/z 44,m/z 60
1,3.015,28.9,32.6,1.090,7.97075E-008,5.70123E-005,6.24903E-013,2.57968E-014,6.23563E-014,1.33849E-013,6.29706E-014,1.84839E-013,-2.6638E-014,9.79003E-014,2.58923E-015,1.8864E-014,8.93072E-014,-1.3168E-014
2,6.138,28.9,32.6,1.755,7.96618E-008,5.69031E-005,5.53529E-013,6.02423E-014,6.01899E-014,4.13613E-014,6.97043E-014,1.38724E-013,2.2204E-014,3.66593E-014,1.60144E-014,6.93283E-015,5.92084E-014,3.69393E-015
3,9.261,28.9,32.6,2.465,7.96618E-008,5.69031E-005,0,9.87723E-015,1.38431E-013,0,1.40667E-013,1.02694E-013,-1.02116E-014,9.42246E-014,1.74907E-014,1.82895E-015,2.40892E-014,-7.52373E-015
4,12.383,28.9,32.6,3.150,7.94328E-008,5.69031E-005,7.74153E-013,3.52247E-014,1.77586E-014,6.00496E-014,6.1685E-014,1.71352E-013,-2.95894E-015,1.03448E-013,2.82875E-015,1.11298E-014,3.10328E-014,-2.90269E-015
5,15.506,28.9,32.6,3.900,7.94786E-008,5.67939E-005,6.52041E-013,2.08263E-014,0,9.09566E-014,1.62541E-013,1.301E-013,1.79862E-014,1.17602E-013,2.49279E-014,1.4947E-014,3.17166E-014,3.69962E-015
6,18.628,28.9,32.6,4.600,7.93413E-008,5.66851E-005,8.82482E-013,3.07421E-014,6.86236E-014,4.31018E-014,9.9947E-014,1.39587E-013,-8.21133E-015,1.21783E-013,-7.10347E-015,4.73987E-016,0,5.01919E-015
7,21.751,28.9,32.6,5.320,7.92045E-008,5.65764E-005,1.25187E-012,4.28717E-014,1.10985E-013,7.83991E-014,3.17987E-014,1.83579E-013,-5.33645E-015,4.55115E-014,-5.80032E-015,5.95326E-015,7.00045E-014,-6.72427E-016
8,24.874,28.9,32.6,6.065,7.91133E-008,5.6468E-005,4.89383E-013,5.50917E-014,1.47384E-014,3.16111E-014,8.465E-014,0,4.13316E-015,1.31484E-013,1.88817E-014,-6.68952E-015,2.91931E-014,-2.85339E-015
9,27.996,28.9,32.6,6.790,7.92045E-008,5.6468E-005,7.12456E-013,0,4.89608E-014,4.82353E-014,5.71507E-014,1.38128E-013,-2.49127E-015,2.07562E-014,1.45356E-014,7.44853E-015,4.25197E-014,1.67684E-014
10,31.119,28.9,32.6,7.515,7.90678E-008,5.63596E-005,2.70615E-013,5.48275E-014,3.53081E-014,2.02518E-014,6.01254E-014,1.28529E-013,1.32981E-014,1.22526E-013,2.4287E-015,1.83445E-014,4.6158E-014,2.87804E-015
