MID Data C:\ESCO\Data\SIM\HMK\20260422\20260422_GZ_1423_5_14days_SIM_A.mfd
April 22 2026 13:27:32

Sample Weight : 246.6 mg

Normalization : per 100 mg (Sample weight : 246.6 mg)
Background correction : Minimum value

No.,Time[s],Temperature1[C],Temperature2[C],Heating Output[%],Pressure1[Pa],Pressure2[Pa],m/z 2,m/z 12,m/z 16,m/z 17,m/z 18,m/z 19,m/z 20,m/z 28,m/z 32,m/z 40,m/z 44,m/z 60
1,3.039,37.4,44.1,1.045,7.94786E-008,7.91537E-005,1.37776E-012,2.11573E-014,1.65265E-013,0,2.45695E-013,2.73284E-013,2.09069E-015,2.40588E-013,3.39863E-014,1.14692E-014,1.84317E-014,1.84878E-014
2,6.162,37.4,44.0,1.685,7.92501E-008,7.9002E-005,1.86148E-012,6.2266E-014,2.13406E-013,1.93349E-013,1.69437E-013,4.53692E-013,6.18393E-015,1.74006E-013,2.10052E-014,5.2712E-015,6.00942E-014,4.47549E-015
3,9.284,37.4,44.0,2.340,7.90678E-008,7.88506E-005,1.19884E-012,4.52073E-014,2.01687E-013,1.04016E-013,1.6474E-013,4.6557E-013,2.02829E-014,9.42653E-014,-9.57038E-015,1.34382E-014,1.20233E-013,-1.83185E-014
4,12.407,37.4,44.0,3.045,7.88405E-008,7.85485E-005,1.28427E-012,7.75429E-014,1.96101E-013,2.11072E-013,1.00098E-013,2.86715E-013,3.41665E-014,1.88967E-013,3.70427E-014,-2.75145E-015,5.64347E-014,3.31905E-014
5,15.530,37.4,44.0,3.720,7.87045E-008,7.8398E-005,1.61763E-012,7.33997E-014,1.42282E-013,2.08741E-013,7.22088E-014,4.0716E-013,1.26503E-014,1.77654E-013,1.44469E-014,9.35351E-016,1.3102E-013,-8.60617E-015
6,18.652,37.4,44.0,4.435,7.87045E-008,7.82476E-005,6.66212E-013,2.9971E-014,9.07424E-014,5.21746E-014,3.17419E-014,2.24121E-013,5.61133E-015,2.15836E-013,1.29319E-014,-1.11915E-014,7.94378E-014,7.87209E-015
7,21.775,37.4,44.0,5.120,7.8388E-008,7.80977E-005,6.3209E-013,4.51824E-014,1.04904E-013,1.64997E-013,8.25012E-014,5.18736E-013,1.86977E-014,1.35096E-013,3.53873E-014,6.07862E-015,5.96488E-014,-3.64467E-015
8,24.897,37.4,44.0,5.840,7.80729E-008,7.79479E-005,1.56558E-012,3.26421E-014,1.27911E-013,2.62695E-014,1.28729E-013,2.38787E-013,6.38442E-015,1.9143E-013,2.52662E-014,-7.41104E-015,9.79272E-014,4.69236E-015
9,28.020,37.4,43.9,6.515,7.79382E-008,7.76494E-005,2.01567E-012,8.4017E-014,8.12866E-014,7.99418E-014,1.53145E-013,3.9659E-013,1.40833E-014,1.3556E-013,3.64101E-014,-1.21799E-014,1.38471E-013,-3.70708E-015
10,31.143,37.4,43.9,7.255,7.758E-008,7.73519E-005,1.04493E-012,3.07535E-014,1.73478E-013,1.10954E-013,2.29798E-013,4.00895E-013,1.46512E-014,1.13743E-013,-1.61803E-014,1.54459E-016,8.06727E-014,5.81182E-016
