MID Data C:\ESCO\Data\SIM\HMK\20260415\20260415_GZ_1423_4_7days_SIM_A.mfd
April 15 2026 13:38:39

Sample Weight : 248 mg

Normalization : per 100 mg (Sample weight : 248 mg)
Background correction : Minimum value

No.,Time[s],Temperature1[C],Temperature2[C],Heating Output[%],Pressure1[Pa],Pressure2[Pa],m/z 2,m/z 12,m/z 16,m/z 17,m/z 18,m/z 19,m/z 20,m/z 28,m/z 32,m/z 40,m/z 44,m/z 60
23,71.725,76.3,40.0,11.360,7.62079E-008,7.94582E-005,1.16711E-012,6.03964E-015,4.60188E-014,1.88935E-013,6.55518E-013,1.51967E-013,1.36051E-014,1.45998E-013,1.6151E-014,2.26274E-015,0,7.30017E-015
24,74.848,79.1,40.4,11.455,7.63397E-008,7.91537E-005,1.09923E-012,4.52012E-014,8.23241E-014,4.04559E-013,7.36405E-013,3.12153E-015,2.59218E-014,1.43484E-013,1.79956E-014,-1.2395E-014,7.8316E-014,-1.55684E-015
25,77.971,82.0,40.8,11.645,7.65156E-008,7.91537E-005,9.09545E-013,2.59846E-014,3.72316E-014,4.60917E-013,6.54654E-013,2.28319E-013,-7.65156E-015,0,5.28186E-014,-3.16255E-015,8.59901E-014,1.81918E-014
26,81.093,85.1,41.3,11.750,7.67804E-008,7.88506E-005,1.16006E-012,3.33437E-014,1.06022E-013,4.72489E-013,9.95703E-013,1.36117E-013,1.06846E-014,1.17049E-013,6.97282E-015,2.07812E-015,1.21814E-013,9.40155E-015
27,84.216,88.2,41.6,11.905,7.70903E-008,7.88506E-005,1.53152E-012,4.12365E-014,1.68627E-013,4.74776E-013,1.65804E-012,1.6295E-013,1.29124E-014,2.16472E-013,-8.72049E-015,1.02168E-014,1.32079E-013,-8.97647E-015
28,87.338,91.5,42.1,12.010,7.74462E-008,7.85485E-005,1.31585E-012,2.53865E-014,1.53354E-013,6.38037E-013,1.29714E-012,4.07077E-014,1.43816E-014,9.1714E-014,1.98061E-014,-1.12423E-014,1.19374E-013,1.9502E-014
29,90.461,94.6,42.4,12.140,7.77141E-008,7.8398E-005,1.60847E-012,3.12338E-014,1.49382E-013,6.58112E-013,1.79822E-012,1.41463E-013,2.28275E-014,1.84469E-013,-1.88489E-014,-5.74565E-015,9.40226E-014,3.23314E-014
30,93.584,97.8,42.9,12.295,7.8343E-008,7.82476E-005,0,1.90901E-014,1.85242E-013,8.72877E-013,1.93634E-012,1.36111E-013,7.3056E-015,9.94541E-014,1.88171E-014,8.25196E-015,1.37173E-013,7.24432E-015
31,96.706,101.1,43.4,12.295,7.88861E-008,7.80977E-005,1.65334E-012,4.23023E-014,1.42128E-013,9.6462E-013,2.54437E-012,6.97157E-014,4.02661E-014,8.64183E-014,3.32405E-014,7.42506E-015,1.2044E-013,9.40776E-015
32,99.829,104.2,43.7,12.500,7.96159E-008,7.79479E-005,1.90088E-012,4.63973E-014,3.82124E-013,9.85267E-013,2.99411E-012,2.02783E-013,1.27805E-014,2.84953E-013,2.30509E-014,-8.3241E-015,5.83579E-014,2.24063E-014
33,102.951,107.4,44.2,12.555,8.03989E-008,7.77986E-005,2.1271E-012,1.5127E-014,2.58805E-013,1.35608E-012,3.10814E-012,1.70992E-013,0,1.94525E-013,2.29283E-014,-1.7465E-014,9.94129E-014,3.15014E-014
34,106.074,110.3,44.5,12.740,8.11896E-008,7.76494E-005,1.12296E-012,3.37967E-014,3.34558E-013,1.6116E-012,3.65218E-012,2.03071E-013,3.81337E-014,2.03799E-013,1.59997E-014,1.74743E-014,1.8629E-013,1.7735E-014
35,109.197,113.4,45.0,12.885,8.21297E-008,7.75006E-005,1.05235E-012,2.5129E-014,3.19128E-013,1.51238E-012,4.1075E-012,1.24656E-013,4.16942E-014,2.44834E-013,3.25587E-014,-2.39538E-015,1.32463E-013,-1.61285E-014
36,112.319,116.6,45.5,12.970,8.28895E-008,7.73519E-005,1.9338E-012,2.37661E-014,2.18527E-013,1.65704E-012,4.27306E-012,1.05459E-013,1.29714E-014,4.58846E-014,4.00373E-014,1.686E-014,1.44993E-013,1.29101E-014
37,115.442,120.0,46.0,13.150,8.38976E-008,7.70557E-005,1.94887E-012,5.4249E-014,3.28907E-013,1.98707E-012,4.99536E-012,5.10812E-014,3.77761E-014,3.04715E-013,2.83241E-014,5.95587E-015,1.90456E-013,3.59959E-014
38,118.564,123.4,46.4,13.305,8.49669E-008,7.6908E-005,1.60562E-012,4.68875E-014,3.03707E-013,2.33231E-012,5.53545E-012,1.37686E-013,4.60948E-014,1.19933E-013,1.49091E-014,-1.05442E-014,1.73996E-013,4.76912E-014
39,121.687,126.8,46.9,13.375,8.60994E-008,7.67605E-005,1.77758E-012,3.29721E-014,4.60363E-013,2.24241E-012,5.96558E-012,2.11139E-013,4.43541E-014,2.30219E-013,6.1017E-015,-9.566E-015,1.51823E-013,9.42793E-015
40,124.810,130.2,47.4,13.530,8.72469E-008,7.64665E-005,2.37944E-012,6.39825E-014,2.81621E-013,2.56985E-012,6.48613E-012,2.32249E-013,3.76923E-014,2.0805E-013,-6.35769E-015,-3.46663E-015,1.98682E-013,-8.65533E-015
41,127.932,133.4,47.8,13.575,8.87666E-008,7.64665E-005,3.35469E-012,1.60812E-014,5.22702E-013,2.83571E-012,6.83435E-012,1.85027E-013,6.16376E-015,2.27172E-013,4.45364E-014,-1.85076E-014,1.80207E-013,3.10298E-014
42,131.055,136.6,48.3,13.725,9.00016E-008,7.63199E-005,2.83233E-012,4.51251E-014,4.91183E-013,2.89291E-012,7.44601E-012,1.78735E-013,3.82183E-014,3.18055E-013,1.77427E-014,-1.02967E-014,2.39376E-013,6.80837E-015
43,134.177,139.7,48.7,13.805,9.17276E-008,7.61736E-005,3.41573E-012,8.87477E-014,5.82853E-013,3.00236E-012,7.84016E-012,4.86408E-014,4.28112E-015,3.5782E-013,1.51837E-014,-5.54087E-015,2.5237E-013,4.35411E-014
44,137.300,142.8,49.2,13.940,9.36483E-008,7.58819E-005,3.68464E-012,4.16244E-014,6.2503E-013,3.75823E-012,8.75583E-012,1.31355E-013,2.34868E-014,2.83254E-013,1.38122E-014,8.77634E-015,1.85933E-013,1.25719E-014
45,140.423,146.0,49.7,13.985,9.56643E-008,7.58819E-005,3.97485E-012,6.57729E-014,6.04625E-013,3.81792E-012,9.26808E-012,1.29093E-013,4.37157E-014,3.71012E-013,2.23946E-015,3.09794E-014,2.63275E-013,8.48312E-015
