MID Data C:\ESCO\Data\SIM\HMK\20260408\20260408_GZ_1423_1_2h_SIM_A.mfd
April 08 2026 15:49:28

Sample Weight : 210.6 mg

Normalization : per 100 mg (Sample weight : 210.6 mg)
Background correction : Minimum value

No.,Time[s],Temperature1[C],Temperature2[C],Heating Output[%],Pressure1[Pa],Pressure2[Pa],m/z 2,m/z 12,m/z 16,m/z 17,m/z 18,m/z 19,m/z 20,m/z 28,m/z 32,m/z 40,m/z 44,m/z 60
1,2.967,27.9,31.1,1.065,7.94786E-008,7.38705E-005,4.7458E-013,4.91232E-014,0,4.66961E-014,2.7629E-013,1.28972E-013,-1.73932E-014,1.77858E-013,4.34844E-014,2.16819E-014,5.99925E-014,-2.27543E-015
2,6.090,27.9,31.1,1.660,7.93871E-008,7.3729E-005,6.99552E-013,3.62946E-014,1.10219E-013,2.6464E-014,4.07528E-013,7.73784E-014,-2.02642E-014,1.47358E-013,4.31611E-014,-3.20716E-015,3.22105E-014,-1.35183E-014
3,9.212,27.9,31.1,2.430,7.92958E-008,7.34465E-005,3.18634E-013,-1.09725E-014,1.18353E-013,4.53122E-014,9.70297E-014,1.73004E-013,1.61628E-014,1.25426E-013,5.43236E-015,1.22733E-014,1.37385E-014,-5.41135E-015
4,12.335,27.9,31.1,3.135,7.90678E-008,7.33056E-005,1.0379E-012,6.66224E-014,2.45221E-013,1.5911E-013,2.95412E-013,1.10667E-014,4.43394E-014,1.04756E-013,7.13048E-014,-2.92363E-014,4.9917E-014,1.88383E-014
5,15.457,27.9,31.1,3.865,7.89769E-008,7.31652E-005,8.7186E-013,-1.11278E-014,3.91327E-014,1.00621E-013,4.43351E-013,1.30567E-013,-7.9188E-015,1.83746E-013,2.33691E-014,-1.24614E-014,1.27263E-013,-1.4303E-014
6,18.580,27.9,31.1,4.590,7.86592E-008,7.30249E-005,9.7959E-013,3.65668E-014,1.72555E-013,4.95264E-015,2.19305E-013,1.05275E-014,1.67812E-014,1.60846E-013,1.70406E-014,1.20011E-014,4.4702E-014,3.49308E-014
7,21.703,27.9,31.1,5.255,7.86141E-008,7.28849E-005,4.60069E-013,2.18336E-014,2.77336E-013,9.89215E-014,3.88239E-013,8.51638E-014,7.59635E-015,1.32819E-013,-1.41523E-014,-8.06588E-016,6.13307E-014,-2.84982E-014
8,24.825,27.9,31.1,6.050,7.85236E-008,7.27452E-005,1.17832E-012,3.91382E-014,1.85415E-013,5.09008E-014,0,1.24275E-013,1.43231E-015,1.21602E-013,-4.61572E-014,1.18732E-014,1.16846E-013,-6.12842E-015
9,27.948,27.9,31.1,6.775,7.82077E-008,7.24665E-005,0,3.47773E-014,1.426E-013,2.51457E-014,1.62769E-013,2.66931E-013,-1.20294E-014,5.67963E-014,3.34327E-015,5.13914E-015,0,2.23232E-014
10,31.070,27.9,31.1,7.520,7.81177E-008,7.24665E-005,6.13259E-014,4.29985E-014,1.1352E-013,1.12062E-013,1.16849E-013,2.64781E-013,-1.43432E-014,1.19199E-013,5.32914E-015,-1.0619E-014,1.50098E-013,1.35558E-015
11,34.193,28.1,31.1,8.270,7.78036E-008,7.2189E-005,3.41879E-013,7.93506E-014,1.64843E-014,0,3.95076E-013,2.93567E-013,3.65138E-014,1.16347E-014,4.38918E-014,-2.90033E-014,3.38556E-014,-1.37494E-014
12,37.316,28.9,31.2,9.155,7.76694E-008,7.20506E-005,6.50688E-013,2.3961E-014,1.82451E-013,7.61869E-016,2.44723E-013,2.07424E-013,-3.02813E-015,1.64313E-013,6.55683E-015,8.8971E-016,2.53641E-014,2.63214E-014
13,40.438,31.3,31.3,9.820,7.76247E-008,7.19125E-005,1.07771E-012,7.0269E-014,1.65461E-013,2.83443E-015,6.74317E-014,1.45447E-013,2.04158E-015,4.78005E-014,2.40158E-014,1.56586E-014,7.83905E-014,-2.79857E-014
14,43.561,35.7,31.7,10.320,7.758E-008,7.17746E-005,7.28939E-013,3.6459E-014,8.14807E-014,5.70548E-014,1.48012E-013,1.97236E-013,2.90718E-014,1.13199E-013,2.55203E-014,3.48623E-014,2.6347E-014,-1.2688E-014
15,46.683,41.4,32.1,10.670,7.73127E-008,7.1637E-005,4.60389E-013,7.86427E-014,1.82766E-013,1.49162E-013,2.20253E-013,2.61341E-013,1.12995E-015,8.90332E-014,3.56415E-014,-5.73563E-015,9.17115E-014,-8.9437E-015
16,49.806,47.4,32.7,10.900,7.73127E-008,7.13626E-005,6.82343E-013,5.65287E-014,9.11561E-014,5.11995E-014,2.17736E-013,8.21621E-014,7.77813E-015,6.2088E-014,2.58893E-014,7.47212E-015,9.91855E-014,3.77433E-014
17,52.929,52.8,33.3,10.890,7.71792E-008,7.13626E-005,2.78413E-013,0,3.32417E-014,6.63492E-014,3.8775E-013,2.6056E-013,2.222E-014,1.41304E-013,1.70242E-014,3.97995E-015,4.33273E-014,3.37232E-014
18,56.051,57.3,33.8,10.965,7.72235E-008,7.12258E-005,7.47498E-013,3.22004E-014,1.62562E-013,1.13015E-013,4.9798E-013,1.95787E-013,-1.27483E-014,0,0,2.76879E-014,8.10771E-014,1.26469E-014
19,59.174,61.1,34.4,10.935,7.72235E-008,7.10893E-005,2.98752E-013,4.46372E-014,1.1434E-013,1.20522E-013,6.89214E-013,0,-3.1814E-014,1.777E-013,2.00797E-014,-1.04774E-015,6.05196E-014,2.39382E-014
20,62.296,64.4,34.9,11.050,7.73127E-008,7.08169E-005,1.155E-012,4.7394E-014,2.63697E-014,1.25957E-013,6.33401E-013,2.54701E-013,4.92301E-014,7.01455E-014,3.85682E-014,-5.51366E-015,3.92378E-014,2.68603E-014
21,65.419,67.5,35.3,11.180,7.74907E-008,7.08169E-005,2.54662E-012,5.90918E-014,1.39785E-013,1.61584E-013,7.36571E-013,4.19527E-014,1.12803E-014,1.45102E-013,-1.158E-014,-9.16204E-016,1.00216E-013,1.47506E-014
22,68.542,70.4,35.8,11.275,7.74462E-008,7.05457E-005,2.22877E-012,2.92335E-014,9.08154E-014,2.47971E-013,7.32145E-013,1.15863E-013,1.48922E-014,1.34131E-013,2.0425E-015,3.68947E-015,6.30024E-014,1.96129E-014
23,71.664,73.2,36.2,11.465,7.77141E-008,7.05457E-005,1.40547E-012,3.6047E-014,2.04509E-013,1.70382E-013,9.7339E-013,8.06258E-014,2.72193E-014,7.44178E-014,2.93769E-015,0,1.32505E-013,-6.74135E-015
24,74.787,76.0,36.5,11.510,7.81177E-008,7.04105E-005,2.10751E-012,4.41239E-014,2.17338E-013,6.41148E-013,1.32635E-012,2.05032E-013,1.63455E-014,9.70097E-014,3.51034E-014,2.92792E-014,1.24132E-013,2.07228E-014
25,77.909,78.9,37.0,11.670,7.84332E-008,7.02755E-005,1.87441E-012,3.97118E-014,1.33129E-013,7.38487E-013,1.43031E-012,1.67844E-013,1.99527E-014,1.47509E-013,3.53711E-014,1.24916E-014,1.43846E-013,4.98367E-014
26,81.032,82.1,37.4,11.800,7.91589E-008,7.01408E-005,1.99087E-012,6.71075E-014,3.21981E-013,9.4131E-013,1.88859E-012,2.22249E-013,4.53196E-014,1.39539E-013,1.24541E-014,2.02752E-014,1.44292E-013,1.69995E-015
27,84.155,85.3,37.9,11.885,7.97075E-008,7.00064E-005,2.11015E-012,1.92284E-014,2.05428E-013,8.1302E-013,2.44182E-012,1.1873E-013,9.72471E-015,1.13217E-013,3.70655E-014,-8.92909E-015,1.44386E-013,7.27846E-015
28,87.277,88.5,38.2,12.055,8.07699E-008,6.98721E-005,2.59196E-012,4.83824E-014,2.99667E-013,1.11408E-012,3.19476E-012,7.21653E-014,9.77678E-015,2.10579E-013,-1.33877E-014,-1.13087E-015,2.12056E-013,3.66627E-014
29,90.400,91.6,38.7,12.155,8.19407E-008,6.97382E-005,3.26108E-012,8.67378E-014,2.71951E-013,1.2662E-012,3.12697E-012,2.26893E-013,0,1.22785E-013,2.9535E-014,1.27063E-014,7.0585E-014,4.63198E-014
30,93.522,94.8,39.1,12.280,8.31286E-008,6.96044E-005,3.84967E-012,2.61433E-014,4.50366E-013,1.75644E-012,4.03232E-012,1.79346E-013,4.79503E-014,3.31335E-013,-1.22824E-014,1.81477E-014,2.58722E-013,6.28553E-014
31,96.645,97.9,39.6,12.365,8.44307E-008,6.96044E-005,4.13993E-012,5.80158E-014,4.73372E-013,2.13977E-012,4.80126E-012,3.77194E-013,5.57212E-016,2.57664E-013,-6.55226E-015,-1.98888E-014,2.69779E-013,6.24972E-014
32,99.768,101.1,40.0,12.495,8.60994E-008,6.93379E-005,4.66123E-012,4.8091E-014,5.37345E-013,2.5032E-012,6.04332E-012,3.24269E-013,1.95344E-014,2.46869E-013,3.89573E-014,3.24032E-014,2.97741E-013,5.13165E-014
33,102.890,104.2,40.5,12.640,8.77E-008,6.9205E-005,4.73391E-012,7.32587E-014,6.76759E-013,2.73167E-012,6.59497E-012,1.20723E-013,1.45889E-014,1.65138E-013,1.1316E-014,5.26519E-014,2.95494E-013,7.08983E-014
34,106.013,107.4,41.0,12.735,8.97945E-008,6.90722E-005,5.57075E-012,6.59994E-014,8.06897E-013,3.27629E-012,7.14753E-012,1.56104E-013,3.85938E-015,2.14599E-013,3.63832E-014,1.58687E-014,4.38802E-013,1.12317E-013
35,109.135,110.6,41.3,12.845,9.17804E-008,6.90722E-005,7.22596E-012,4.88181E-014,7.16507E-013,3.76911E-012,8.45402E-012,2.91554E-013,4.21818E-014,2.81241E-013,3.1455E-014,-1.36225E-014,4.37182E-013,1.09336E-013
36,112.258,113.7,41.8,12.920,9.40807E-008,6.88077E-005,8.61342E-012,7.11605E-014,8.49014E-013,3.92197E-012,9.12613E-012,1.41601E-013,-4.88976E-015,2.91149E-013,5.94993E-014,6.37779E-015,4.60106E-013,1.65216E-013
37,115.381,116.9,42.3,13.110,9.6383E-008,6.88077E-005,7.37605E-012,7.2591E-014,7.89481E-013,4.20133E-012,9.88704E-012,1.27242E-013,1.19389E-014,1.87571E-013,-1.87168E-015,9.10082E-015,5.14428E-013,1.17679E-013
38,118.503,120.2,42.7,13.280,9.90261E-008,6.85441E-005,9.57734E-012,8.31351E-014,1.25227E-012,5.40532E-012,1.11521E-011,3.00388E-013,2.08169E-014,2.21638E-013,1.69776E-014,-5.62967E-015,4.77118E-013,1.74306E-013
39,121.626,123.7,43.2,13.315,1.01683E-007,6.85441E-005,1.20932E-011,1.32145E-013,9.72141E-013,5.71977E-012,1.22043E-011,4.32687E-013,3.4158E-014,2.65065E-013,2.80597E-014,5.97769E-015,4.89746E-013,1.90012E-013
40,124.748,127.1,43.6,13.455,1.04773E-007,6.84128E-005,1.34787E-011,6.28699E-014,1.25993E-012,5.56881E-012,1.26764E-011,1.87141E-013,2.05063E-014,3.4407E-013,3.80594E-014,4.85925E-014,4.14282E-013,1.27298E-013
41,127.871,130.5,44.1,13.500,1.08268E-007,6.82816E-005,1.39445E-011,9.41057E-014,1.24807E-012,6.19564E-012,1.43547E-011,5.3759E-014,6.74838E-014,2.72482E-013,3.15683E-014,3.26754E-014,6.4727E-013,9.20989E-014
42,130.994,133.6,44.6,13.625,1.11944E-007,6.82816E-005,1.70383E-011,6.18523E-014,1.30728E-012,6.66459E-012,1.54873E-011,3.40761E-013,4.90702E-014,3.94953E-013,2.65552E-014,-3.99183E-015,6.0712E-013,4.77275E-014
43,134.116,136.7,45.1,13.680,1.16011E-007,6.802E-005,2.04412E-011,9.3744E-014,1.54654E-012,7.53319E-012,1.6767E-011,4.8696E-013,3.44037E-014,4.43565E-013,2.54591E-014,3.32263E-014,5.68264E-013,6.95884E-014
44,137.239,139.9,45.6,13.820,1.20088E-007,6.802E-005,2.14303E-011,1.11227E-013,1.52305E-012,8.1456E-012,1.88523E-011,3.30649E-013,1.79559E-014,4.71953E-013,8.28199E-014,-5.1099E-015,6.83763E-013,4.77412E-014
