MID Data C:\ESCO\Data\SIM\HMK\20260409\20260409_GZ_1423_3_24h_SIM_A.mfd
April 09 2026 13:27:42

Sample Weight : 264.7 mg

Normalization : per 100 mg (Sample weight : 264.7 mg)
Background correction : Minimum value

No.,Time[s],Temperature1[C],Temperature2[C],Heating Output[%],Pressure1[Pa],Pressure2[Pa],m/z 2,m/z 12,m/z 16,m/z 17,m/z 18,m/z 19,m/z 20,m/z 28,m/z 32,m/z 40,m/z 44,m/z 60
23,71.763,74.3,37.3,11.385,7.73571E-008,6.13248E-005,2.39534E-012,1.51255E-014,1.43701E-013,3.02423E-013,7.69129E-013,1.47757E-013,1.4826E-015,1.50244E-013,4.16648E-014,-4.32208E-015,1.09705E-013,2.35312E-014
24,74.885,77.2,37.7,11.540,7.74907E-008,6.12072E-005,1.29768E-012,4.48051E-015,1.38291E-013,3.09411E-013,8.23198E-013,1.20865E-013,2.25392E-014,1.06073E-013,2.42936E-014,-3.72976E-015,2.54376E-014,9.37747E-015
25,78.008,80.1,38.1,11.635,7.76694E-008,6.109E-005,1.81424E-012,2.50299E-015,1.00724E-013,3.11765E-013,1.0301E-012,2.23521E-013,-5.50017E-015,0,1.72069E-014,4.7545E-015,5.87656E-014,2.4463E-015
26,81.131,83.3,38.5,11.815,7.80279E-008,6.09728E-005,1.06376E-012,2.49506E-014,1.2061E-013,5.52879E-013,1.34724E-012,1.03266E-014,1.4608E-014,1.29416E-013,4.22833E-015,9.68925E-015,5.61892E-014,1.0376E-014
27,84.253,86.3,39.0,11.900,7.8388E-008,6.08559E-005,1.61521E-012,3.00685E-014,1.35166E-013,6.03116E-013,1.66143E-012,1.05777E-013,-2.9514E-015,1.48087E-013,7.97917E-015,2.07346E-015,9.35748E-014,2.57203E-015
28,87.376,89.5,39.3,12.045,7.89769E-008,6.07392E-005,1.48033E-012,4.42056E-014,1.6615E-013,7.18238E-013,1.83718E-012,8.00331E-014,2.93926E-014,1.08553E-013,3.12546E-014,-1.03513E-014,9.12361E-014,2.87436E-014
29,90.498,92.7,39.8,12.120,7.96159E-008,6.06228E-005,6.89728E-013,1.1698E-014,2.34828E-013,1.05129E-012,2.21499E-012,1.82836E-013,1.07074E-014,1.72146E-013,3.88457E-015,6.24438E-015,8.21937E-014,9.55625E-015
30,93.621,95.9,40.1,12.215,8.04452E-008,6.05066E-005,1.86926E-012,2.91688E-014,2.32849E-013,1.10974E-012,2.30902E-012,1.61517E-013,1.1097E-014,1.6593E-013,1.36487E-015,3.57438E-014,9.26932E-014,1.9348E-014
31,96.744,99.1,40.6,12.400,8.11896E-008,6.03906E-005,1.85943E-012,1.84838E-014,2.6658E-013,1.486E-012,2.88013E-012,6.1717E-014,-5.10553E-015,1.73927E-013,4.70799E-015,1.20854E-014,1.06793E-013,1.0323E-014
32,99.866,102.2,41.1,12.485,8.22716E-008,6.02748E-005,2.1696E-012,3.27314E-014,4.00895E-013,1.27565E-012,3.53991E-012,1.20841E-013,8.87745E-015,1.47733E-013,2.11031E-014,1.75449E-014,1.00572E-013,3.51566E-014
33,102.989,105.3,41.4,12.580,8.36565E-008,6.01592E-005,2.4695E-012,5.76667E-014,2.7738E-013,1.78531E-012,3.89028E-012,1.17712E-013,2.53424E-015,1.66217E-013,1.4201E-014,1.23369E-014,1.15294E-013,5.39333E-014
34,106.111,108.5,41.9,12.730,8.45279E-008,6.00439E-005,2.35628E-012,1.59816E-014,3.72128E-013,1.78775E-012,4.11332E-012,8.62767E-014,1.37126E-014,5.95025E-014,1.44358E-014,4.95073E-015,8.88552E-014,4.62689E-014
35,109.234,111.7,42.3,12.845,8.63474E-008,5.99289E-005,3.09642E-012,1.03172E-014,3.71345E-013,2.13584E-012,5.1023E-012,2.40113E-013,0,2.0679E-013,2.33801E-015,7.93774E-015,1.52539E-013,3.43208E-014
36,112.357,114.7,42.7,12.975,8.77E-008,5.98139E-005,2.45613E-012,7.51186E-015,5.21363E-013,2.32249E-012,5.38865E-012,1.15531E-013,2.92007E-014,1.5846E-013,1.48624E-014,-5.8512E-015,1.69494E-013,5.24311E-014
37,115.479,118.1,43.2,13.105,8.92277E-008,5.96993E-005,2.85972E-012,8.03527E-014,4.758E-013,2.7034E-012,6.42365E-012,4.62951E-014,1.93618E-014,1.7868E-013,3.9414E-014,-9.9458E-015,1.5695E-013,4.80632E-014
38,118.602,121.6,43.6,13.180,9.08342E-008,5.96993E-005,3.63246E-012,3.11681E-014,5.68011E-013,3.04234E-012,6.79217E-012,7.02232E-014,2.25516E-015,1.87252E-013,1.53449E-014,2.27834E-014,1.83969E-013,4.96331E-014
39,121.724,125.0,44.1,13.275,9.28967E-008,5.94706E-005,3.82619E-012,2.50691E-014,6.0061E-013,3.27157E-012,7.20917E-012,1.80368E-013,1.38994E-014,2.208E-013,2.12405E-014,3.79372E-015,2.07171E-013,4.54941E-014
